report.response,report.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audio,participant,sex,age,years musical experience,date,expName,psychopyVersion,OS,frameRate,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
1.073464912,1.918,0,0,0,5,1,yl6.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
1.051535088,1.544,0,1,1,1,1,yl2.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
1.051535088,1.578,0,2,2,0,1,yl1.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
2,2.207,0,3,3,7,1,yl8.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
2,1.351,0,4,4,10,1,yl11.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
1.023026316,1.849,0,5,5,4,1,yl5.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
1.986842105,1.887,0,6,6,9,1,yl10.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
1.036184211,1.914,0,7,7,3,1,yl4.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
1.036184211,1.405,0,8,8,2,1,yl3.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
1.961622807,1.841,0,9,9,8,1,yl9.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
1.961622807,1.352,0,10,10,6,1,yl7.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
1.961622807,1.494,1,0,11,7,1,yl8.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
1.023026316,1.891,1,1,12,1,1,yl2.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
1.023026316,1.381,1,2,13,3,1,yl4.wav,1101,f,21,3,2021-10-21_22h46.25.842,yanny-laurel,2021.2.3,Win32,59.95203837,,,,,
