"","participant","sex","age","music_yrs","block","trial_n","stim","stim_idx","trial_rep_n","resp","RT","dB_ratio"
"1","1","m",26,4,1,1,"yl6.wav",6,1,1,2.001,"0"
"2","1","m",26,4,1,2,"yl3.wav",3,1,1,1.61,"-36"
"3","1","m",26,4,1,3,"yl5.wav",5,1,1,1.379,"-12"
"4","1","m",26,4,1,4,"yl7.wav",7,1,1,1.596,"12"
"5","1","m",26,4,1,5,"yl1.wav",1,1,0,1.879,"-60"
"6","1","m",26,4,1,6,"yl10.wav",10,1,1,1.716,"48"
"7","1","m",26,4,1,7,"yl9.wav",9,1,1,1.426,"36"
"8","1","m",26,4,1,8,"yl8.wav",8,1,1,1.476,"24"
"9","1","m",26,4,1,9,"yl11.wav",11,1,1,1.295,"60"
"10","1","m",26,4,1,10,"yl4.wav",4,1,0,1.894,"-24"
"11","1","m",26,4,1,11,"yl2.wav",2,1,0,1.593,"-48"
"12","1","m",26,4,1,12,"yl2.wav",2,2,0,1.33,"-48"
"13","1","m",26,4,1,13,"yl4.wav",4,2,0,1.263,"-24"
"14","1","m",26,4,1,14,"yl3.wav",3,2,0,1.278,"-36"
"15","1","m",26,4,1,15,"yl8.wav",8,2,1,1.895,"24"
"16","1","m",26,4,1,16,"yl6.wav",6,2,1,1.179,"0"
"17","1","m",26,4,1,17,"yl1.wav",1,2,0,1.677,"-60"
"18","1","m",26,4,1,18,"yl9.wav",9,2,1,1.63,"36"
"19","1","m",26,4,1,19,"yl11.wav",11,2,1,1.493,"60"
"20","1","m",26,4,1,20,"yl7.wav",7,2,1,1.078,"12"
"21","1","m",26,4,1,21,"yl10.wav",10,2,1,1.409,"48"
"22","1","m",26,4,1,22,"yl5.wav",5,2,0,2.494,"-12"
"24","1","m",26,4,2,1,"yl6.wav",6,1,1,1.563,"0"
"25","1","m",26,4,2,2,"yl4.wav",4,1,1,1.412,"-24"
"26","1","m",26,4,2,3,"yl2.wav",2,1,1,1.248,"-48"
"27","1","m",26,4,2,4,"yl9.wav",9,1,1,1.197,"36"
"28","1","m",26,4,2,5,"yl1.wav",1,1,0,1.848,"-60"
"29","1","m",26,4,2,6,"yl3.wav",3,1,1,1.693,"-36"
"30","1","m",26,4,2,7,"yl10.wav",10,1,1,1.112,"48"
"31","1","m",26,4,2,8,"yl11.wav",11,1,1,1.16,"60"
