report.response,report.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audio,participant,sex,age,years musical experience,date,expName,psychopyVersion,OS,frameRate,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
1,3.0603,0,0,0,0,1,yl1.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
2,3.1898,0,1,1,8,1,yl9.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1,2.7616,0,2,2,2,1,yl3.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.962500095,3.2008,0,3,3,9,1,yl10.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.021875024,2.6217,0,4,4,4,1,yl5.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.952083429,2.2382,0,5,5,7,1,yl8.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.952083429,1.7035,0,6,6,6,1,yl7.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.006250024,2.4782,0,7,7,3,1,yl4.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.006250024,1.6037,0,8,8,1,1,yl2.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.006250024,5.1335,0,9,9,5,1,yl6.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.96875,3.2228,0,10,10,10,1,yl11.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.96875,2.1077,1,0,11,6,1,yl7.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.007291675,2.5749,1,1,12,1,1,yl2.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.007291675,3.5181,1,2,13,4,1,yl5.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.978125095,3.0521,1,3,14,10,1,yl11.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.013541659,2.6786,1,4,15,2,1,yl3.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.973958333,2.563,1,5,16,8,1,yl9.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.017708341,2.573,1,6,17,0,1,yl1.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.017708341,2.2352,1,7,18,5,1,yl6.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.017708341,1.5137,1,8,19,3,1,yl4.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
2,2.4574,1,9,20,9,1,yl10.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
2,1.6123,1,10,21,7,1,yl8.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
,,,,,,,,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,0,0,0,0,1
1,2.7111,0,0,0,0,1,yl1.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1,1.3191,0,1,1,2,1,yl3.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1,1.5196,0,2,2,4,1,yl5.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
2,2.2024,0,3,3,9,1,yl10.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.019791683,2.246,0,4,4,3,1,yl4.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.96979173,2.2871,0,5,5,10,1,yl11.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.036458333,2.3445,0,6,6,5,1,yl6.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.946875095,2.7099,0,7,7,8,1,yl9.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1.946875095,1.6468,0,8,8,7,1,yl8.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1,2.2214,0,9,9,1,1,yl2.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1,3.5341,0,10,10,6,1,yl7.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
1,1.5245,1,0,11,2,1,yl3.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
2,2.1111,1,1,12,7,1,yl8.wav,1701,f,20,0,2021-10-22_21h04.25.002,yanny-laurel,2021.2.3,Win32,60.26637739,,,,,
